participant,.draw,beta
6980792fded33a62e27ce7cc,19,2.5548705
69808775dc84b90f4adafb2f,19,1.4955109
6980990e5c9007100eb282b6,19,1.5333009
6980d9a70a7862a47c69046d,19,2.1931064
6981150699107501d80e74b6,19,2.4704144
6981e6c2e26c88d954f297eb,19,0.8224445
69829236d776a93cf3afa632,19,0.92550601
698341d57fe7b870bddf91b8,19,-1.4461378
6984a9246122d3bd4ca0833e,19,1.6604333
69d5525ec7afcfce08d8608b,19,-0.35122092
69d555ce85e30d6215e559d9,19,1.0609383
69dac2125e535db5a698ea18,19,-0.06285147
69e913482ae5864d44e6387c,19,1.2915322
60f19a691466276fe085b461,20,0.56989579
61563a4b0def9000ccc976ec,20,0.30993279
62ebe597372fdef388b734b3,20,1.4573869
667bd577710d52a05ac09036,20,2.0373892
69728435c9476fe76dd2ab2f,20,0.49031401
697a645e36e6f14eea2b396b,20,-0.34523638
697caeea2ec1c2604535f8aa,20,0.65186798
6980792fded33a62e27ce7cc,20,2.1859227
69808775dc84b90f4adafb2f,20,1.5943961
6980990e5c9007100eb282b6,20,1.1618525
6980d9a70a7862a47c69046d,20,2.2011786
6981150699107501d80e74b6,20,2.6331163
6981e6c2e26c88d954f297eb,20,0.62412814
69829236d776a93cf3afa632,20,1.2812539
698341d57fe7b870bddf91b8,20,-0.85671353
6984a9246122d3bd4ca0833e,20,1.8578343
69d5525ec7afcfce08d8608b,20,0.098293999
69d555ce85e30d6215e559d9,20,0.67157873
69dac2125e535db5a698ea18,20,-0.28032927
69e913482ae5864d44e6387c,20,1.4246732
60f19a691466276fe085b461,21,1.2777543
61563a4b0def9000ccc976ec,21,-0.026072088
62ebe597372fdef388b734b3,21,1.0286531
667bd577710d52a05ac09036,21,0.90861321
69728435c9476fe76dd2ab2f,21,0.18750961
697a645e36e6f14eea2b396b,21,0.80402313
697caeea2ec1c2604535f8aa,21,1.3121524
6980792fded33a62e27ce7cc,21,1.738531
69808775dc84b90f4adafb2f,21,1.5154995
6980990e5c9007100eb282b6,21,0.76098413
6980d9a70a7862a47c69046d,21,2.3645044
6981150699107501d80e74b6,21,1.1874847
6981e6c2e26c88d954f297eb,21,0.51605939
69829236d776a93cf3afa632,21,0.89914096
698341d57fe7b870bddf91b8,21,-1.1786876
6984a9246122d3bd4ca0833e,21,2.5481234
69d5525ec7afcfce08d8608b,21,1.281055
69d555ce85e30d6215e559d9,21,0.99445603
69dac2125e535db5a698ea18,21,0.62875566
69e913482ae5864d44e6387c,21,1.2165378
60f19a691466276fe085b461,22,0.44174996
61563a4b0def9000ccc976ec,22,0.45675574
62ebe597372fdef388b734b3,22,0.51729397
667bd577710d52a05ac09036,22,1.1465784
69728435c9476fe76dd2ab2f,22,0.4580347
697a645e36e6f14eea2b396b,22,0.07519739
697caeea2ec1c2604535f8aa,22,1.0205184
6980792fded33a62e27ce7cc,22,2.8077837
69808775dc84b90f4adafb2f,22,0.59253718
6980990e5c9007100eb282b6,22,1.018484
6980d9a70a7862a47c69046d,22,1.8912822
6981150699107501d80e74b6,22,1.3421121
6981e6c2e26c88d954f297eb,22,0.2240022
69829236d776a93cf3afa632,22,0.59352883
698341d57fe7b870bddf91b8,22,-1.3227617
6984a9246122d3bd4ca0833e,22,2.9262396
69d5525ec7afcfce08d8608b,22,0.72470314
69d555ce85e30d6215e559d9,22,1.2097519
69dac2125e535db5a698ea18,22,0.27157009
69e913482ae5864d44e6387c,22,0.90823548
60f19a691466276fe085b461,23,0.6001119
61563a4b0def9000ccc976ec,23,0.48030618
62ebe597372fdef388b734b3,23,1.1982725
667bd577710d52a05ac09036,23,1.0397289
69728435c9476fe76dd2ab2f,23,0.64284236
697a645e36e6f14eea2b396b,23,0.09439562
697caeea2ec1c2604535f8aa,23,1.8431127
6980792fded33a62e27ce7cc,23,2.2017243
69808775dc84b90f4adafb2f,23,0.5802955
6980990e5c9007100eb282b6,23,0.48119777
